param_value,RMSE,MAE,R²,RRMSE,MDA
1,12.167090328045276,7.824191365955825,0.7210769942562787,0.02335386070691946,0.4084507042253521
2,12.489650734201078,8.290307692287078,0.7060919647042183,0.023972992363858525,0.4295774647887324
3,14.890996726892528,11.023835232720339,0.5822096462430429,0.028582204452402716,0.4507042253521127
4,12.227222564828141,8.320929152566704,0.718313192929259,0.023469280239770757,0.4295774647887324
