Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,Price_Range,RSI_14
2018-03-05,302.850006,316.910004,297.600006,315.0,315.0,18986100,297.68599860000006,290.62500020000004,276.5684991,300.30167251605513,291.92007641145017,281.38112571594775,19.309998000000007,87.81651368022116
2018-03-06,319.880005,325.790009,316.5,325.220001,325.220001,18525800,304.6080018,295.29200149999997,280.11649939999995,308.60778201070343,297.9746081548229,285.5562566953813,9.290008999999998,89.23004680486532
2018-03-07,320.0,323.73999,314.549988,321.160004,321.160004,17132200,310.56400160000004,299.304001,282.88849955,312.79185600713566,302.1901346721278,288.9470897720117,9.190001999999993,83.77418644260659
2018-03-08,322.200012,322.920013,314.130005,317.0,317.0,11340100,315.88599860000005,303.1899995,285.51049965000004,314.1945706714238,304.8828374590136,291.6187955080106,8.790008,75.66736634968606
2018-03-09,321.329987,331.440002,320.230011,331.440002,331.440002,14500200,321.9640014,307.74100039999996,289.57749945,319.9430477809492,309.711412830102,295.41129136439054,11.209991000000002,81.41025629611369
2018-03-12,333.559998,333.980011,318.600006,321.299988,321.299988,20369200,323.223999,310.4549988,293.1689988,320.3953611872995,311.81842649735614,297.87688152016284,15.380004999999983,72.65499930492871
2018-03-13,323.869995,325.839996,313.279999,315.880005,315.880005,12917200,321.35599979999995,312.98200080000004,296.06549845,318.8902424581997,312.55689531601865,299.5914647087188,12.55999700000001,67.90707068065522
2018-03-14,318.160004,323.880005,317.700012,321.549988,321.549988,10475100,321.43399659999994,315.9989991,299.2294984,319.77682430546645,314.19200307674254,301.6827526412217,6.179992999999968,71.69414224911392
2018-03-15,323.170013,323.399994,318.140015,321.089996,321.089996,5642900,322.2519958,319.0689972,301.9839982,320.2145482036443,315.44618360824387,303.53106153253395,5.259978999999987,68.960312025881
2018-03-16,321.420013,324.109985,318.369995,318.450012,318.450012,7333700,319.6539978,320.8089996,303.89299934999997,319.62636946909623,315.99233422492676,304.9519139580069,5.7399899999999775,63.938950561376274
2018-03-19,315.799988,317.0,307.339996,313.480011,313.480011,9925200,318.0900024,320.65700069999997,305.64100045,317.57758331273084,315.535548184031,305.76411367629197,9.660004000000015,62.91362922868081
2018-03-20,313.26001,319.5,312.799988,317.5,317.5,5991900,318.41400139999996,319.88500059999996,307.58850105,317.55172220848726,315.8927212414799,306.88181713569276,6.700012000000015,64.22658842041538
2018-03-21,316.350006,319.399994,314.51001,316.480011,316.480011,5263900,317.400006,319.4170013,309.36050115,317.1944851389915,315.99950119757443,307.7959308370553,4.88998399999997,64.20560687821106
2018-03-22,313.070007,314.119995,305.660004,306.700012,306.700012,8063300,314.5220092,318.3870025,310.788501,313.69632742599435,314.30868497983363,307.69155761447865,8.459991000000002,53.10611715564441
2018-03-23,307.410004,309.369995,300.359985,300.940002,300.940002,9529900,311.02000719999995,315.33700250000004,311.53900145,309.4442189506629,311.87801534713657,307.04855231786166,9.010010000000023,41.50555411175464
2018-03-26,309.359985,321.029999,302.0,320.350006,320.350006,11988300,312.39400620000004,315.2420043,312.84850155,313.07948130044196,313.41837728402083,308.3153574304463,19.029998999999975,47.351822949856704
2018-03-27,322.48999,322.899994,297.0,300.690002,300.690002,12068600,309.03200660000005,313.723004,313.35250239999993,308.94965486696134,311.1041272323807,307.58913310373714,25.899993999999992,40.483491402200265
2018-03-28,298.390015,298.799988,281.609985,285.769989,285.769989,18972900,302.89000219999997,310.1450041,313.07200159999996,301.22309957797427,306.4979202810387,305.5111193795717,17.19000299999999,36.80161452500448
2018-03-29,287.0,295.350006,275.899994,295.350006,295.350006,19145500,300.620001,307.5710051,313.32000114999994,299.2654017186495,304.4710267753953,304.54339429580295,19.450012000000015,34.09431391536053
2018-04-02,291.940002,292.869995,275.049988,280.290009,280.290009,13405800,296.4900024,303.7550048,312.28200219999997,292.940270812433,300.0744780889597,302.23354807715504,17.820007000000032,32.6772023629474
2018-04-03,285.450012,291.25,278.01001,283.670013,283.670013,12694900,289.1540038,300.774005,310.71550285,289.85018487495535,297.0918480727852,300.4655923555212,13.239989999999977,36.15576554784422
2018-04-04,273.630005,290.309998,271.220001,288.940002,288.940002,12914000,286.80400380000003,297.91800520000004,308.9015029,289.54679058330356,295.60969424136965,299.3679170835668,19.089996999999983,35.93548337344835
2018-04-05,293.149994,299.160004,289.109985,293.970001,293.970001,10655200,288.4440062,295.66700419999995,307.54200275,291.0211940555357,295.31156819748423,298.8538298375128,10.05001900000002,38.746889948107
2018-04-06,289.100006,298.850006,285.649994,288.850006,288.850006,11444800,287.1440062,293.8820036,306.13450305000003,290.2974647036905,294.1367387070325,297.90108471013065,13.200012000000015,37.965521388394755
2018-04-09,291.769989,299.549988,289.119995,289.929993,289.929993,9853600,289.07200300000005,292.7810027,304.0590026,290.17497413579366,293.3718758512084,297.1419331186896,10.429992999999968,40.11251205348938
2018-04-10,297.679993,298.950012,291.690002,298.070007,298.070007,10660500,291.9520018,290.55300279999994,302.89750355,292.80665175719577,294.22608151462504,297.23032110738586,7.2600100000000225,42.1150922456218
2018-04-11,302.880005,311.640015,301.820007,303.670013,303.670013,14877400,294.898004,290.85100389999997,302.28700395,296.42777217146386,295.94315996651136,297.8436250971586,9.82000800000003,44.987872998363144
2018-04-12,309.720001,311.130005,306.75,309.25,309.25,10249400,297.9540038,293.199005,301.67200455,300.70184811430926,298.36258542714563,298.92994651647683,4.380004999999983,51.03163179203473
2018-04-13,317.290009,317.48999,308.230011,311.649994,311.649994,12046600,302.5140014,294.8290038,301.20000445,304.3512300762062,300.77847789493734,300.1413796101457,9.259978999999987,54.45395953971891
2018-04-16,315.98999,316.100006,304.0,307.779999,307.779999,20307900,306.08400259999996,297.57800280000004,300.6665038,305.49415305080413,302.0514817322214,300.8688671710842,12.100006000000008,43.996557990289816
2018-04-17,329.660004,338.619995,323.769989,336.059998,336.059998,33866500,313.6820008,302.8170013,301.79550314999994,315.6827680338694,308.23484832636296,304.22040344050475,14.850006000000008,65.60762388518661
2018-04-18,336.299988,338.820007,331.100006,334.519989,334.519989,11221100,319.851996,307.375,302.64650259999996,321.9618416892463,313.0139648124788,307.1060782556948,7.720000999999968,74.39207640484949
